Tissue,Leaf,,,Leaf,,,Leaf,,,Root,,,Root,,,Root,,
Context,CG,,,CHG,,,CHH,,,CG,,,CHG,,,CHH,,
Total number of differentially methylated sites,84,,,69,,,"5,587",,,247,,,143,,,"6,295",,
Total unique genes listed,78,,,67,,,"4,337",,,238,,,134,,,"4,704",,
,Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p)
,HORVU7Hr1G080200,37.9,-1.78,HORVU7Hr1G006070,36.9,-2.05,HORVU3Hr1G112260,100.0,-3.44,HORVU5Hr1G107990,67.6,-1.39,HORVU5Hr1G092470,57.7,-2.61,HORVU3Hr1G053680,100.0,-6.44
,HORVU3Hr1G107760,37.7,-2.19,HORVU5Hr1G017930,34.9,-1.43,HORVU3Hr1G116440,100.0,-3.34,HORVU1Hr1G077910,66.7,-1.30,HORVU1Hr1G092640,57.5,-2.04,HORVU3Hr1G059710,100.0,-3.55
,HORVU7Hr1G000040,37.5,-1.34,HORVU3Hr1G000590,31.8,-1.59,HORVU4Hr1G000750,100.0,-2.20,HORVU2Hr1G103490,66.7,-1.43,HORVU3Hr1G083990,56.5,-1.68,HORVU3Hr1G069320,100.0,-3.55
,HORVU1Hr1G061230,36.8,-1.76,HORVU3Hr1G098440,31.8,-2.42,HORVU4Hr1G049670,100.0,-3.75,HORVU5Hr1G041660,63.5,-1.50,HORVU7Hr1G090560,53.6,-1.83,HORVU3Hr1G069520,100.0,-3.45
,HORVU3Hr1G085760,35.5,-1.98,HORVU1Hr1G092000,30.0,-1.82,HORVU4Hr1G057510,100.0,-2.61,HORVU5Hr1G044220,62.5,-2.75,HORVU4Hr1G050230,53.3,-1.55,HORVU3Hr1G088640,100.0,-3.47
,HORVU3Hr1G021970,34.2,-3.28,HORVU2Hr1G103130,29.2,-1.47,HORVU4Hr1G078500,100.0,-3.56,HORVU1Hr1G057460,58.3,-1.35,HORVU5Hr1G095540,52.4,-2.04,HORVU3Hr1G092650,100.0,-4.49
,HORVU2Hr1G039030,33.3,-1.38,HORVU2Hr1G085850,28.6,-1.52,HORVU4Hr1G087650,100.0,-3.75,HORVU3Hr1G108500,58.3,-1.75,HORVU2Hr1G001190,51.8,-1.35,HORVU3Hr1G092890,100.0,-3.70
,HORVU2Hr1G101470,33.3,-2.14,HORVU5Hr1G037160,24.2,-1.69,HORVU5Hr1G000640,100.0,-2.41,HORVU7Hr1G033530,58.3,-2.93,HORVU3Hr1G107170,50.0,-1.94,HORVU3Hr1G107970,100.0,-5.79
,HORVU6Hr1G037950,28.9,-1.56,HORVU3Hr1G078300,24.1,-1.88,HORVU5Hr1G014480,100.0,-6.02,HORVU2Hr1G013370,57.6,-3.23,HORVU4Hr1G025470,50.0,-1.74,HORVU3Hr1G108110,100.0,-3.55
,HORVU7Hr1G120030,28.4,-2.19,HORVU2Hr1G103130,23.9,-1.64,HORVU5Hr1G046170,100.0,-3.66,HORVU1Hr1G077080,56.4,-1.38,HORVU2Hr1G050270,48.4,-1.75,HORVU4Hr1G012500,100.0,-8.22
,HORVU4Hr1G059270,28.2,-1.58,HORVU4Hr1G084910,22.1,-2.46,HORVU5Hr1G071450,100.0,-6.10,HORVU5Hr1G117220,54.5,-1.40,HORVU7Hr1G000320,47.6,-1.34,HORVU4Hr1G014190,100.0,-6.05
,HORVU3Hr1G090850,28.1,-2.49,HORVU5Hr1G048550,22.0,-2.48,HORVU5Hr1G073050,100.0,-3.22,HORVU3Hr1G081180,53.9,-2.56,HORVU2Hr1G087820,47.3,-1.65,HORVU4Hr1G031150,100.0,-4.22
,HORVU7Hr1G077810,27.9,-1.33,HORVU0Hr1G007540,21.7,-1.43,HORVU5Hr1G092430,100.0,-7.12,HORVU7Hr1G026510,53.6,-1.73,HORVU7Hr1G077710,47.2,-1.40,HORVU4Hr1G052170,100.0,-2.30
,HORVU5Hr1G064470,27.5,-1.32,HORVU7Hr1G092280,20.7,-2.00,HORVU5Hr1G094020,100.0,-2.61,HORVU3Hr1G102840,52.9,-1.39,HORVU5Hr1G063070,46.7,-2.74,HORVU4Hr1G052500,100.0,-2.30
,HORVU7Hr1G000040,25.8,-1.78,HORVU2Hr1G091580,19.2,-1.59,HORVU5Hr1G115630,100.0,-2.41,HORVU3Hr1G000230,52.4,-3.24,HORVU1Hr1G082140,44.7,-2.25,HORVU4Hr1G076690,100.0,-2.99
,HORVU3Hr1G047180,25.8,-3.46,HORVU7Hr1G042890,19.1,-1.42,HORVU6Hr1G031190,100.0,-2.20,HORVU7Hr1G099320,52.3,-1.53,HORVU5Hr1G033480,43.7,-1.35,HORVU4Hr1G080030,100.0,-6.04
,HORVU5Hr1G000940,24.6,-2.08,HORVU5Hr1G122540,16.2,-1.42,HORVU6Hr1G067980,100.0,-7.63,HORVU1Hr1G057910,52.2,-2.70,HORVU6Hr1G087930,41.7,-1.44,HORVU5Hr1G000780,100.0,-4.05
,HORVU6Hr1G020670,24.3,-1.43,HORVU4Hr1G039540,13.0,-1.39,HORVU6Hr1G076320,100.0,-3.22,HORVU1Hr1G079410,50.0,-1.31,HORVU7Hr1G084240,41.6,-1.71,HORVU5Hr1G045860,100.0,-2.30
,HORVU4Hr1G002120,19.4,-1.52,HORVU3Hr1G035730,12.7,-1.52,HORVU6Hr1G082900,100.0,-8.76,HORVU6Hr1G000810,50.0,-1.87,HORVU7Hr1G002970,40.9,-1.33,HORVU5Hr1G060030,100.0,-3.78
,HORVU7Hr1G085060,18.7,-1.31,HORVU2Hr1G025510,12.5,-1.39,HORVU6Hr1G090450,100.0,-4.62,HORVU7Hr1G122750,50.0,-2.49,HORVU7Hr1G070080,39.6,-1.73,HORVU5Hr1G067500,100.0,-3.78
,HORVU7Hr1G105580,17.5,-1.44,HORVU5Hr1G051570,-11.2,-2.64,HORVU7Hr1G043690,100.0,-4.09,HORVU4Hr1G048210,49.0,-1.95,HORVU6Hr1G031370,39.0,-1.34,HORVU5Hr1G067750,100.0,-2.99
,HORVU1Hr1G005470,16.1,-2.06,HORVU2Hr1G099160,-13.2,-1.83,HORVU7Hr1G045800,100.0,-3.36,HORVU5Hr1G059030,48.5,-2.52,HORVU1Hr1G093250,37.7,-1.78,HORVU5Hr1G073050,100.0,-3.19
,HORVU2Hr1G032280,13.5,-1.50,HORVU2Hr1G066890,-16.0,-1.38,HORVU7Hr1G067480,100.0,-3.09,HORVU1Hr1G048870,47.9,-1.69,HORVU2Hr1G067340,35.2,-1.78,HORVU5Hr1G099410,100.0,-4.67
,HORVU1Hr1G048900,12.8,-2.83,HORVU7Hr1G053070,-16.7,-1.44,HORVU7Hr1G076480,100.0,-2.41,HORVU5Hr1G005910,45.8,-1.50,HORVU7Hr1G025850,35.1,-1.36,HORVU5Hr1G113260,100.0,-3.67
,HORVU1Hr1G004930,12.5,-2.55,HORVU1Hr1G092110,-18.2,-1.49,HORVU7Hr1G093200,100.0,-6.46,HORVU4Hr1G079800,45.8,-1.51,HORVU3Hr1G042050,34.2,-1.40,HORVU5Hr1G115180,100.0,-5.79
,HORVU6Hr1G008870,12.3,-1.45,HORVU0Hr1G040200,-20.0,-1.70,HORVU7Hr1G103330,100.0,-2.41,HORVU6Hr1G064370,45.0,-1.58,HORVU4Hr1G057520,33.3,-2.92,HORVU5Hr1G123010,100.0,-4.50
,HORVU7Hr1G021000,11.3,-2.24,HORVU3Hr1G110590,-20.0,-1.73,HORVU7Hr1G109340,100.0,-2.61,HORVU2Hr1G107600,44.4,-2.69,HORVU4Hr1G057520,33.3,-1.33,HORVU5Hr1G123770,100.0,-3.19
,HORVU7Hr1G033530,-13.0,-2.47,HORVU3Hr1G095940,-20.7,-1.54,HORVU7Hr1G120030,100.0,-5.94,HORVU1Hr1G072160,44.4,-3.30,HORVU6Hr1G052490,33.0,-1.96,HORVU6Hr1G008870,100.0,-4.67
,HORVU1Hr1G024540,-15.0,-1.33,HORVU5Hr1G068600,-22.2,-1.52,HORVU6Hr1G053330,98.4,-5.78,HORVU6Hr1G092270,43.5,-7.27,HORVU6Hr1G022890,32.7,-1.97,HORVU6Hr1G034710,100.0,-5.79
,HORVU1Hr1G041030,-16.7,-2.11,HORVU7Hr1G085570,-22.2,-1.75,HORVU2Hr1G053610,98.1,-5.65,HORVU3Hr1G095940,43.5,-1.65,HORVU7Hr1G006250,32.4,-1.62,HORVU6Hr1G057260,100.0,-6.01
,HORVU4Hr1G001450,-20.0,-2.06,HORVU2Hr1G056510,-27.3,-1.72,HORVU3Hr1G045090,98.1,-5.45,HORVU6Hr1G070170,43.4,-1.50,HORVU3Hr1G027580,32.4,-2.85,HORVU6Hr1G087730,100.0,-3.55
,HORVU3Hr1G075970,-20.1,-4.38,HORVU4Hr1G088760,-27.7,-1.48,HORVU3Hr1G057390,98.1,-8.82,HORVU6Hr1G083960,43.3,-1.68,HORVU2Hr1G039100,32.3,-1.63,HORVU7Hr1G009410,100.0,-5.32
,HORVU7Hr1G028190,-27.5,-1.57,HORVU3Hr1G099430,-28.6,-3.45,HORVU6Hr1G079730,97.9,-4.56,HORVU7Hr1G009420,42.9,-2.78,HORVU6Hr1G085080,32.3,-1.51,HORVU7Hr1G010280,100.0,-7.04
,HORVU2Hr1G092080,-29.1,-2.61,HORVU4Hr1G088760,-29.4,-2.55,HORVU2Hr1G052960,97.1,-5.28,HORVU7Hr1G111260,41.8,-2.13,HORVU3Hr1G027580,31.8,-1.30,HORVU7Hr1G076120,100.0,-7.25
,HORVU5Hr1G110490,-29.2,-3.00,HORVU2Hr1G013700,-33.3,-1.33,HORVU6Hr1G010050,97.0,-3.95,HORVU5Hr1G015220,41.2,-2.71,HORVU6Hr1G030590,31.7,-1.63,HORVU7Hr1G092010,100.0,-3.45
,HORVU5Hr1G068590,-31.0,-1.57,HORVU3Hr1G006760,-38.0,-1.31,HORVU3Hr1G052400,96.7,-5.45,HORVU3Hr1G056830,40.0,-1.44,HORVU4Hr1G078830,31.5,-1.71,HORVU7Hr1G111630,100.0,-2.89
,HORVU3Hr1G003860,-31.7,-2.19,HORVU3Hr1G090910,-41.9,-1.40,HORVU3Hr1G019230,95.5,-6.43,HORVU5Hr1G023720,40.0,-1.59,HORVU5Hr1G089880,31.4,-1.79,HORVU4Hr1G087870,99.1,-6.79
,HORVU6Hr1G001960,-33.7,-1.73,HORVU2Hr1G035080,-43.5,-1.47,HORVU7Hr1G086720,95.5,-4.55,HORVU5Hr1G084410,39.3,-1.49,HORVU5Hr1G009150,31.4,-1.55,HORVU2Hr1G028880,97.5,-5.88
,HORVU7Hr1G117010,-35.7,-2.29,HORVU1Hr1G032310,-45.3,-4.43,HORVU3Hr1G107360,95.2,-6.99,HORVU2Hr1G106480,38.7,-1.65,HORVU5Hr1G121230,31.3,-1.39,HORVU7Hr1G039700,97.0,-4.06
,HORVU3Hr1G016230,-37.5,-2.09,HORVU2Hr1G119310,-46.3,-2.00,HORVU3Hr1G028000,94.4,-3.58,HORVU3Hr1G097400,38.5,-2.03,HORVU1Hr1G035960,31.0,-1.42,HORVU4Hr1G060160,96.9,-4.63
,HORVU1Hr1G085240,-38.2,-1.44,HORVU2Hr1G108370,-48.7,-1.50,HORVU2Hr1G098160,94.2,-7.93,HORVU1Hr1G062740,37.5,-1.59,HORVU7Hr1G035420,30.7,-2.10,HORVU2Hr1G032970,95.6,-10.23
,HORVU7Hr1G118180,-38.7,-2.61,HORVU4Hr1G004270,-55.7,-1.52,HORVU3Hr1G115580,93.2,-3.82,HORVU3Hr1G038050,37.1,-1.55,HORVU7Hr1G047800,30.7,-1.56,HORVU1Hr1G060090,95.5,-5.28
,HORVU7Hr1G117320,-38.8,-1.53,HORVU3Hr1G057330,-58.3,-1.33,HORVU6Hr1G031600,93.1,-3.77,HORVU4Hr1G035180,36.7,-1.81,HORVU2Hr1G056510,30.3,-1.59,HORVU2Hr1G125790,94.4,-5.21
,HORVU4Hr1G088760,-39.7,-1.48,HORVU2Hr1G024680,-65.2,-1.41,HORVU2Hr1G012010,92.9,-5.63,HORVU7Hr1G109020,36.1,-2.00,HORVU1Hr1G092060,30.1,-1.33,HORVU4Hr1G081590,94.4,-4.26
